,0
0.5,0.359752988535119
1.0,0.18332538405568855
1.5,0.11371492521412069
2.0,0.0780361251138301
2.5,0.05673622150920916
3.0,0.042629180796241346
3.5,0.033228803603140324
4.0,0.026379272208472155
4.5,0.021473340324156213
5.0,0.01777643384950228
5.5,0.014845795618710867
6.0,0.012618454824418262
6.5,0.010791749807121378
7.0,0.009361326045590423
7.5,0.008156695844936885
8.0,0.007191151095405045
8.5,0.006360377144051979
9.0,0.005681853878527284
9.5,0.00508754315618902
10.0,0.004594562181630051
10.5,0.00415622173946837
11.0,0.0037773186052743823
11.5,0.003456084538490128
12.0,0.0031659219554778873
12.5,0.002917441244407782
13.0,0.002690626867668837
13.5,0.002494706258662866
14.0,0.00231422342042985
14.5,0.0021571462273884076
15.0,0.0020112771589320486
