,0
0.5,0.20923726085185848
1.0,0.09857550281699559
1.5,0.056532736900721074
2.0,0.03566227782645378
2.5,0.023947321195517117
3.0,0.016615755462414793
3.5,0.011876775319935364
4.0,0.008691428060848307
4.5,0.006485085519841695
5.0,0.004903119936254314
5.5,0.003773891421548915
6.0,0.002934367771701845
6.5,0.002314207527519092
7.0,0.0018401733348368792
7.5,0.0014777972510165004
8.0,0.0011956072805817692
8.5,0.0009772924674195567
9.0,0.0008040372656630757
9.5,0.0006665441925560635
10.0,0.0005565044668501436
10.5,0.0004677464573274909
11.0,0.00039525777606973174
11.5,0.00033604691405219656
12.0,0.00028735230979874877
12.5,0.00024705161872987905
13.0,0.00021349843837849584
13.5,0.00018528973578962266
14.0,0.00016156753968597367
14.5,0.00014151255938551973
15.0,0.00012441226663313044
