,0
0.5,3.1027719342287154
1.0,1.9492007661709243
1.5,1.3747831888006898
2.0,1.0155805914171174
2.5,0.7865241253167315
3.0,0.6263659863874693
3.5,0.5099393853194858
4.0,0.42278190393417675
4.5,0.35255203656834355
5.0,0.30042472087802585
5.5,0.25902826264775175
6.0,0.2256770059543975
6.5,0.19846257321925992
7.0,0.1760002720776267
7.5,0.1558866028700447
8.0,0.14013498368920796
8.5,0.12676135853883044
9.0,0.11531586987078851
9.5,0.10544806807035627
10.0,0.09618794903049434
10.5,0.08871280889750509
11.0,0.08214479306103128
11.5,0.07634196168059182
12.0,0.07118874557074308
12.5,0.06659037322094238
13.0,0.062075477076472825
13.5,0.05836923101075858
14.0,0.05502027167780159
14.5,0.05198292804386681
15.0,0.04921860284288587
