,0
0.5,3.0175544476071656
1.0,1.471236473348749
1.5,0.8580442889205067
2.0,0.5480304753515127
2.5,0.36530648034446145
3.0,0.25243556447256127
3.5,0.17935419722624737
4.0,0.1310011840686033
4.5,0.0967624742683935
5.0,0.07312837141177427
5.5,0.056218027625960273
6.0,0.04379184535275503
6.5,0.03473432613490459
7.0,0.027882624882541313
7.5,0.022695487123193872
8.0,0.01874936612230967
8.5,0.015646668996778367
9.0,0.013205681962132136
9.5,0.011262318030406341
10.0,0.009697440803359684
10.5,0.00841312981014488
11.0,0.007367249135161535
11.5,0.006498530636613418
12.0,0.005770314670901013
12.5,0.005154602734656919
13.0,0.004629815567202002
13.5,0.004175513100293756
14.0,0.0037863041725300227
14.5,0.0034475776550772293
15.0,0.0031486728666774194
