,0
0.5,0.2124627246644698
1.0,0.11893550788490648
1.5,0.07277391780080852
2.0,0.047046206064457585
2.5,0.03096868195884135
3.0,0.020895176070909557
3.5,0.014172029611169376
4.0,0.009773943229468913
4.5,0.0067411192421485315
5.0,0.004680403786614947
5.5,0.0032672055844583945
6.0,0.00228027169066422
6.5,0.0016053664195411126
7.0,0.001129705753885904
7.5,0.0007977534197811128
8.0,0.0005634237409800643
8.5,0.000399185077940849
9.0,0.000282996989211768
9.5,0.00020083914365131482
10.0,0.00014290664681621473
10.5,0.00010178422804942957
11.0,7.2574195131478e-05
11.5,5.176034292205069e-05
12.0,3.6966956864090714e-05
12.5,2.6418941375310268e-05
13.0,1.8886284043482703e-05
13.5,1.3521834994469714e-05
14.0,9.68255781186171e-06
14.5,6.936713796854748e-06
15.0,4.97370970942624e-06
